code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,开盘价,开板价格,开板涨幅%(未开板未截止目前累计涨幅%),涨停板个数,历史最高,历史最高涨幅%,现价
603357,设计总院,建筑施工,安徽,28.78,0.81,3.25,240367.88,217701.97,11370.71,88070.88,2.71,0.66,5.2,3.92,20170801,44660.45,1.38,0.0,0.0,41.28,21.11,49936.0,0.0,0,0.0,0,0.0,0.0,0.0
603580,艾艾精工,化工原料,上海,65.53,0.17,0.67,40125.26,30073.52,8224.38,14630.82,2.19,0.39,5.54,5.33,20170525,14499.17,2.17,0.0,0.0,48.23,19.57,6105.0,0.0,0,0.0,0,0.0,0.0,0.0
600025,华能水电,水力发电,云南,31.62,18.0,180.0,16657994.0,517700.41,9989143.0,1691413.25,0.94,0.09,2.16,1.75,20171215,161660.02,0.09,0.0,0.0,47.18,17.72,1231158.0,2.6,5.06,94.61538461538458,6,6.12,135.3846153846154,3.79
603619,中曼石油,石油开采,上海,33.62,0.4,4.0,400210.31,244724.47,120008.07,102862.55,2.57,0.843,6.18,6.11,20171117,96456.88,2.41,0.0,0.0,48.92,25.31,38847.0,0.0,0,0.0,0,0.0,0.0,0.0
603607,京华激光,造纸,浙江,39.29,0.23,0.91,47358.76,31066.7,8976.87,15172.75,1.67,0.94,5.22,7.05,20171025,13320.15,1.46,0.0,0.0,32.91,15.89,25174.0,0.0,0,0.0,0,0.0,0.0,0.0
603937,丽岛新材,铝,江苏,46.43,0.52,2.09,94653.2,79028.31,12314.5,18406.34,0.88,0.33899999999999997,4.91,4.27,20171102,39431.76,1.89,0.0,0.0,16.13,7.92,52615.0,0.0,0,0.0,0,0.0,0.0,0.0
603356,华菱精工,机械基件,安徽,49.57,0.33,1.33,52746.38,32024.01,0.0,0.0,0.0,0.365,3.3,7.31,20180124,0.0,0.0,0.0,0.0,0.0,10.2,33471.0,0.0,0,0.0,0,0.0,0.0,0.0
002873,新天药业,中成药,贵州,42.08,0.17,0.69,91925.27,57405.9,21257.95,32972.4,4.79,1.04,9.04,5.56,20170519,18090.75,2.63,0.0,0.0,81.09,11.75,9615.0,22.09,47.62,115.57265731100043,8,53.53,142.3268447261204,50.3
603269,海鸥股份,机械基件,江苏,101.97,0.23,0.91,124114.92,100752.27,14144.5,22613.01,2.47,0.23,6.57,4.09,20170517,24357.98,2.66,0.0,0.0,30.2,5.09,12339.0,0.0,0,0.0,0,0.0,0.0,0.0
603963,大理药业,化学制药,云南,64.75,0.25,1.0,62622.2,44925.3,10986.69,23749.92,2.37,0.52,4.58,7.36,20170922,9541.13,0.95,0.0,0.0,63.85,20.0,27488.0,0.0,0,0.0,0,0.0,0.0,0.0
603059,倍加洁,家居用品,江苏,48.71,0.2,0.8,57712.18,27994.39,11581.01,10501.5,1.31,1.082,5.68,9.28,20180302,16202.45,2.03,6.92,27.64,26.26,12.94,19999.0,0.0,0,0.0,0,0.0,0.0,0.0
603757,大元泵业,专用机械,浙江,28.73,0.21,0.84,107870.38,82140.81,20763.63,49251.42,5.88,1.84,10.02,5.68,20170711,25144.03,3.0,0.0,0.0,33.21,16.12,5960.0,0.0,0,0.0,0,0.0,0.0,0.0
603183,建研院,建筑施工,江苏,75.7,0.22,0.88,77187.99,58717.5,6464.78,33245.4,3.78,0.51,6.96,5.51,20170905,19043.57,2.16,0.0,0.0,46.65,11.57,23724.0,0.0,0,0.0,0,0.0,0.0,0.0
601838,成都银行,银行,四川,10.65,3.61,36.12,40991660.0,0.0,102515.2,402383.19,1.11,0.778,7.68,1.44,20180131,1029206.69,2.85,0.0,0.0,0.0,43.06,299572.0,8.39,14.71,75.32777115613825,6,16.6,97.85458879618594,11.05
002910,庄园牧场,乳制品,甘肃,56.95,0.47,1.87,180371.77,87209.15,62579.91,50879.06,2.72,0.46,6.02,3.45,20171031,39948.32,2.13,-5.62,-9.96,30.71,10.88,27589.0,8.95,31.67,253.85474860335202,12,33.68,276.3128491620112,20.78
300658,延江股份,纺织,福建,31.71,0.25,1.0,98673.81,75481.3,15887.67,45316.25,4.53,0.73,7.51,3.52,20170602,15319.26,1.53,0.0,0.0,33.34,11.36,9436.0,23.29,44.2,89.78102189781025,5,45.02,93.30184628595966,26.41
002921,联诚精密,汽车配件,山东,57.93,0.2,0.8,91568.06,40872.6,37956.15,24143.13,3.02,0.461,7.29,4.88,20171227,13568.35,1.7,0.0,0.0,26.63,8.21,40000.0,13.86,40.88,194.94949494949498,10,44.7,222.51082251082255,35.57
603557,起步股份,服饰,浙江,47.08,0.47,4.7,171040.88,128879.05,38515.93,53821.25,1.15,0.33,2.86,6.56,20170818,32333.97,0.69,0.0,0.0,35.66,15.64,29401.0,0.0,0,0.0,0,0.0,0.0,0.0
600903,贵州燃气,供气供热,贵州,181.81,1.22,8.13,751383.75,143656.61,308395.06,40520.62,0.5,0.126,3.3,9.25,20171107,18899.7,0.23,0.0,0.0,21.46,5.34,84526.0,2.65,11.37,329.05660377358487,14,37.49,1314.7169811320757,30.5
603477,振静股份,纺织,四川,53.85,0.6,2.4,97767.67,61670.55,13862.45,12927.05,0.54,0.193,2.66,5.2,20171218,15758.07,0.66,0.0,0.0,18.83,9.71,56235.0,0.0,0,0.0,0,0.0,0.0,0.0
601086,国芳集团,百货,甘肃,56.92,1.6,6.66,281098.53,108232.55,100796.03,32608.55,0.49,0.18,2.68,3.95,20170929,40842.85,0.61,0.0,0.0,17.53,4.37,148540.0,3.79,12.0,216.62269129287603,12,13.45,254.88126649076517,10.58
603289,泰瑞机器,专用机械,浙江,41.27,0.51,2.04,88554.82,68437.21,15267.82,7229.9,0.35,0.31,3.35,5.09,20171031,26118.49,1.28,0.0,0.0,30.63,12.4,48514.0,0.0,0,0.0,0,0.0,0.0,0.0
603517,绝味食品,食品,湖南,28.18,1.64,4.1,321663.97,183053.3,52736.16,76670.93,1.87,0.96,6.28,5.51,20170317,121224.11,2.96,19.07,38.42,35.43,13.07,19175.0,0.0,0,0.0,0,0.0,0.0,0.0
002922,伊戈尔,电气设备,广东,51.31,0.33,1.32,94519.7,58731.76,0.0,0.0,0.0,0.426,5.0,5.83,20171229,0.0,0.0,0.0,0.0,0.0,7.03,65639.0,16.38,33.4,103.90720390720391,8,35.93,119.35286935286936,29.14
300682,朗新科技,软件服务,江苏,0.0,0.45,4.17,125838.76,114508.82,1192.27,30188.83,0.72,-0.05,2.45,10.65,20170801,23927.5,0.57,0.0,0.0,42.48,-8.44,25280.0,6.61,15.55,135.24962178517399,8,34.01,414.5234493192133,26.09
002927,泰永长征,电气设备,贵州,102.38,0.23,0.94,43605.35,35037.03,0.0,0.0,0.0,0.452,4.85,12.71,20180223,0.0,0.0,0.0,0.0,0.0,18.51,48823.0,17.74,55.59,213.35963923337098,11,68.6,286.6967305524239,61.7
603758,秦安股份,汽车配件,重庆,28.44,0.6,4.39,263812.34,129939.22,86446.96,73118.68,1.67,0.39,5.53,2.44,20170517,116821.51,2.66,0.0,0.0,27.94,16.35,26261.0,0.0,0,0.0,0,0.0,0.0,0.0
002928,华夏航空,空运,贵州,41.97,0.41,4.0,548565.06,172783.7,292229.34,23364.48,0.58,0.934,3.19,12.29,20180302,49540.18,1.24,35.17,8.23,21.53,10.85,78828.0,24.77,47.0,89.74566007266856,6,49.3,99.03108599111827,39.22
603229,奥翔药业,化学制药,浙江,70.05,0.4,1.6,68624.13,45903.0,14470.87,22864.82,1.43,0.23,3.4,5.44,20170509,14151.7,0.88,0.0,0.0,60.63,22.65,14088.0,0.0,0,0.0,0,0.0,0.0,0.0
603978,深圳新星,铝,深圳,65.22,0.2,0.8,160043.27,98281.15,41915.01,66081.53,8.26,1.57,16.48,5.17,20170807,53845.75,6.73,27.1,-21.28,21.5,10.36,9087.0,0.0,0,0.0,0,0.0,0.0,0.0
300677,英科医疗,医疗保健,山东,49.26,0.24,0.98,165823.69,85487.75,63891.05,70667.9,7.19,1.75,11.07,6.57,20170721,29952.25,3.05,47.96,68.61,24.92,8.29,11500.0,26.92,43.04,59.88112927191678,5,78.85,192.90490341753338,72.75
603081,大丰实业,专用机械,浙江,54.11,0.52,4.02,254688.41,207715.47,23892.21,47921.59,1.19,0.42,3.64,7.82,20170420,52359.76,1.3,0.0,0.0,30.24,13.99,18587.0,0.0,0,0.0,0,0.0,0.0,0.0
603855,华荣股份,专用机械,上海,42.24,0.83,3.31,217266.92,163933.09,28806.49,67116.92,2.03,0.22,4.11,2.64,20170524,28297.19,0.85,0.0,0.0,51.28,7.06,31092.0,0.0,0,0.0,0,0.0,0.0,0.0
